,LAKE_NAME,EcoRegion,ultraBlue,Blue,Green,Red,Date Aquired,dwPost,dwChroma,dwLehmann,s,sp,brightness,TriX,TriY,TriZ,x,y,z
1,White_Iron,Canadian_Shield,3.50E-05,0.002785,0.00711625,0.004985,8/9/2022,561,561.466662,575.2004676,0.177623962,-0.0011548,0.005267747,0.555,0.618,0.118,0.43,0.48,0.09
2,White_Iron,Canadian_Shield,0.00035125,0.00263375,0.00711625,0.0056725,8/9/2022,565,564.943449,577.1132968,0.172185305,-0.001120455,0.005469763,0.582,0.628,0.131,0.43,0.47,0.10
3,White_Iron,Canadian_Shield,0.0003925,0.00246875,0.00714375,0.00568625,8/9/2022,565,565.1125483,577.4257146,0.173715032,-0.001130623,0.00546081,0.583,0.627,0.128,0.44,0.47,0.10
4,White_Iron,Canadian_Shield,0.00040625,0.00356875,0.0085875,0.00689625,8/9/2022,565,564.7127345,576.611609,0.167924053,-0.001092414,0.006684295,0.706,0.767,0.171,0.43,0.47,0.10
5,White_Iron,Canadian_Shield,0.00059875,0.00433875,0.008615,0.00642875,8/9/2022,561,561.2841819,574.4927602,0.154465193,-0.001004038,0.006692578,0.699,0.777,0.209,0.41,0.46,0.12
6,White_Iron,Canadian_Shield,0.00117625,0.00255125,0.0074875,0.00615375,8/9/2022,566,565.8894544,578.3129327,0.155598133,-0.001013292,0.005786195,0.626,0.661,0.177,0.43,0.45,0.12
7,White_Iron,Canadian_Shield,0.00153375,0.00279875,0.00758375,0.00568625,8/9/2022,563,563.4624379,576.956497,0.142997672,-0.000930439,0.005706128,0.620,0.664,0.207,0.42,0.45,0.14
8,White_Iron,Canadian_Shield,0.002015,0.0029225,0.00757,0.00615375,8/9/2022,565,565.2911978,578.0928402,0.132360919,-0.000861837,0.005879755,0.642,0.675,0.239,0.41,0.43,0.15
9,White_Iron,Canadian_Shield,0.0027025,0.00222125,0.00675875,0.00505375,8/9/2022,564,563.8355672,578.5738695,0.114052844,-0.000742874,0.005038354,0.565,0.588,0.252,0.40,0.42,0.18
10,White_Iron,Canadian_Shield,0.00389875,0.0024825,0.00711625,0.0054525,8/9/2022,564,564.1938046,579.7284313,0.092044307,-0.000600054,0.00537071,0.612,0.626,0.332,0.39,0.40,0.21
11,White_Iron,Canadian_Shield,0.00472375,0.0022625,0.0069925,0.00549375,8/9/2022,565,564.9929094,582.0043626,0.079635859,-0.000520344,0.005297649,0.615,0.615,0.371,0.38,0.38,0.23
12,Trout,Canadian_Shield,3.50E-05,0.0029225,0.0077625,0.0028125,8/9/2022,546,546.2364923,568.9345673,0.179844211,-0.001167747,0.005056599,0.515,0.625,0.124,0.41,0.49,0.10
13,Trout,Canadian_Shield,0.000475,0.00372,0.0106775,0.0066075,8/9/2022,559,559.2449649,574.5195384,0.173302757,-0.001126492,0.007561007,0.805,0.903,0.185,0.43,0.48,0.10
14,Trout,Canadian_Shield,0.00064,0.0047375,0.012575,0.0080375,8/9/2022,559,559.4418858,574.4667145,0.169177463,-0.001099662,0.009040205,0.960,1.076,0.236,0.42,0.47,0.10
15,Trout,Canadian_Shield,0.00075,0.0052875,0.0123,0.0084775,8/9/2022,560,560.3455864,574.5740987,0.1623384,-0.001055236,0.009149056,0.966,1.077,0.260,0.42,0.47,0.11
16,Trout,Canadian_Shield,0.001245,0.004545,0.0112,0.0071575,8/9/2022,559,558.8151161,574.117845,0.154350423,-0.0010032,0.008110216,0.865,0.966,0.260,0.41,0.46,0.12
17,Trout,Canadian_Shield,0.001245,0.003225,0.00966,0.005315,8/9/2022,557,556.9448535,573.5988463,0.156773861,-0.001018826,0.006632381,0.713,0.803,0.210,0.41,0.47,0.12
18,Trout,Canadian_Shield,0.0012725,0.00416,0.0111175,0.0068,8/9/2022,558,558.4217941,574.1109162,0.156394477,-0.001016484,0.007898194,0.846,0.946,0.248,0.41,0.46,0.12
19,Trout,Canadian_Shield,0.0013,0.0057,0.012795,0.0089725,8/9/2022,561,560.524839,574.6313367,0.153252532,-0.00099619,0.009603954,1.017,1.128,0.308,0.41,0.46,0.13
20,Trout,Canadian_Shield,0.001355,0.00493,0.01241,0.0081475,8/9/2022,560,559.6998276,574.5755571,0.155751998,-0.001012423,0.00903133,0.965,1.072,0.283,0.42,0.46,0.12
21,Trout,Canadian_Shield,0.0019325,0.0029775,0.0097425,0.0051775,8/9/2022,557,556.9000644,573.7947513,0.145410257,-0.000945021,0.006597684,0.719,0.802,0.242,0.41,0.46,0.14
22,Trout,Canadian_Shield,0.0028125,0.0050675,0.0124375,0.0082025,8/9/2022,560,559.6072707,574.7162763,0.133369359,-0.000866963,0.009085739,0.985,1.079,0.373,0.40,0.44,0.15
23,Tait,Canadian_Shield,0.0013825,0.0033075,0.006855,0.0051225,8/9/2022,562,561.7324751,575.1375533,0.13303437,-0.000864889,0.005296873,0.565,0.616,0.214,0.41,0.44,0.15
24,Tait,Canadian_Shield,0.001795,0.006965,0.01021,0.008725,8/9/2022,563,563.0816165,573.8536887,0.12391103,-0.000805308,0.008734624,0.891,0.980,0.374,0.40,0.44,0.17
25,Tait,Canadian_Shield,0.0024825,0.00427,0.00812,0.0061125,8/9/2022,561,561.1228184,574.760377,0.113026827,-0.000734736,0.006364746,0.683,0.740,0.314,0.39,0.43,0.18
26,Tait,Canadian_Shield,0.003115,0.00724,0.0102375,0.0080925,8/9/2022,558,557.5610003,571.9903073,0.10217462,-0.000663786,0.00861612,0.887,0.978,0.460,0.38,0.42,0.20
27,Tait,Canadian_Shield,0.003775,0.0067725,0.010045,0.0080925,8/9/2022,560,560.0932592,573.1329831,0.094343558,-0.000613046,0.008411447,0.881,0.957,0.482,0.38,0.41,0.21
28,Tait,Canadian_Shield,0.003885,0.0055075,0.009385,0.00801,8/9/2022,565,564.7149757,576.2445949,0.095920806,-0.000623883,0.007801087,0.837,0.885,0.442,0.39,0.41,0.20
29,Tait,Canadian_Shield,0.0039125,0.00636,0.0091375,0.00724,8/9/2022,558,558.2464776,572.2747905,0.085769197,-0.000557235,0.00766727,0.804,0.873,0.473,0.37,0.41,0.22
30,Tait,Canadian_Shield,0.0039675,0.005755,0.009275,0.0069375,8/9/2022,558,558.1887738,572.8411669,0.089011104,-0.00057836,0.00746714,0.797,0.864,0.456,0.38,0.41,0.22
31,Tait,Canadian_Shield,0.0051225,0.00658,0.0101825,0.0080375,8/9/2022,560,559.9520442,573.5080666,0.078542134,-0.000510411,0.008398038,0.900,0.963,0.554,0.37,0.40,0.23
32,Greenwood,Canadian_Shield,3.50E-05,0.002455,0.0101825,0.005425,8/9/2022,558,558.3156055,574.529372,0.194351711,-0.001263316,0.00681031,0.725,0.822,0.114,0.44,0.49,0.07
33,Greenwood,Canadian_Shield,9.00E-05,0.004325,0.0123275,0.0077075,8/9/2022,559,559.4325529,574.5274032,0.181001691,-0.001176538,0.008757443,0.927,1.044,0.189,0.43,0.48,0.09
34,Greenwood,Canadian_Shield,0.000475,0.003775,0.010815,0.006305,8/9/2022,558,557.8686305,573.8714056,0.173118683,-0.001125118,0.007549125,0.802,0.908,0.188,0.42,0.48,0.10
35,Greenwood,Canadian_Shield,0.0005025,0.0039675,0.0107325,0.0067725,8/9/2022,559,559.2750276,574.4216922,0.170678118,-0.001109405,0.007676683,0.815,0.915,0.196,0.42,0.48,0.10
36,Elephant,Canadian_Shield,3.50E-05,0.00504,0.0192575,0.01043,9/1/2022,558,558.2151707,574.3803375,0.192230681,-0.001249483,0.012974819,1.380,1.566,0.228,0.43,0.49,0.07
37,Elephant,Canadian_Shield,0.000145,0.00471,0.018735,0.0097975,9/1/2022,558,557.7833478,574.2200687,0.192066359,-0.001248366,0.01250567,1.330,1.513,0.222,0.43,0.49,0.07
38,Elephant,Canadian_Shield,0.0002825,0.0047925,0.019615,0.0105675,9/1/2022,558,558.4517977,574.6038833,0.191379394,-0.001244018,0.013157866,1.404,1.587,0.235,0.44,0.49,0.07
39,Elephant,Canadian_Shield,0.00031,0.0047925,0.01945,0.010485,9/1/2022,558,558.4237248,574.5824285,0.190769635,-0.001240048,0.013053809,1.393,1.575,0.236,0.43,0.49,0.07
40,Elephant,Canadian_Shield,0.0007225,0.004765,0.0193125,0.010595,9/1/2022,559,558.7337272,574.7816862,0.18579953,-0.001207805,0.013011942,1.394,1.567,0.259,0.43,0.49,0.08
41,Elephant,Canadian_Shield,0.000915,0.0047925,0.0194775,0.010045,9/1/2022,558,557.6437806,574.2342938,0.183548244,-0.001193005,0.012951745,1.386,1.569,0.271,0.43,0.49,0.08
42,Elephant,Canadian_Shield,0.00218,0.005095,0.019505,0.010375,9/1/2022,558,557.8937249,574.406619,0.167583242,-0.001089284,0.013090005,1.414,1.585,0.355,0.42,0.47,0.11
43,Echo,Canadian_Shield,6.25E-05,0.0111175,0.0204675,0.0176625,9/1/2022,566,565.6294895,575.730676,0.164476153,-0.001069528,0.016876821,1.733,1.904,0.446,0.42,0.47,0.11
44,Echo,Canadian_Shield,9.00E-05,0.00317,0.0153525,0.01351,9/1/2022,568,567.9055708,579.8597109,0.201699302,-0.001315061,0.011948058,1.274,1.324,0.156,0.46,0.48,0.06
45,Echo,Canadian_Shield,0.0001725,0.0040775,0.01615,0.0138675,9/1/2022,567,567.2772548,579.1529918,0.194523955,-0.001267558,0.012513407,1.334,1.402,0.195,0.46,0.48,0.07
46,Echo,Canadian_Shield,0.0002275,0.003665,0.0165075,0.0145275,9/1/2022,568,567.8637208,579.7437417,0.198058282,-0.001291195,0.012870872,1.373,1.429,0.184,0.46,0.48,0.06
47,Echo,Canadian_Shield,0.0002825,0.0030325,0.0156,0.01373,9/1/2022,568,567.9411892,580.0424145,0.200681789,-0.001308636,0.012125304,1.295,1.342,0.163,0.46,0.48,0.06
48,Echo,Canadian_Shield,0.00031,0.0040775,0.016205,0.0143075,9/1/2022,568,567.842136,579.5007106,0.19332446,-0.001260084,0.012700821,1.353,1.414,0.203,0.46,0.48,0.07
49,Echo,Canadian_Shield,0.0003925,0.0038575,0.01604,0.0134275,9/1/2022,567,566.8204617,579.0748754,0.192764775,-0.00125602,0.012280875,1.314,1.383,0.200,0.45,0.48,0.07
50,Echo,Canadian_Shield,0.00042,0.003335,0.01505,0.01296,9/1/2022,567,567.4433233,579.5905185,0.19483049,-0.001269993,0.011627357,1.244,1.298,0.180,0.46,0.48,0.07
51,Echo,Canadian_Shield,0.0004475,0.00372,0.01648,0.0140875,9/1/2022,567,567.2874029,579.4666138,0.194353873,-0.001266759,0.012700216,1.359,1.421,0.199,0.46,0.48,0.07
52,Echo,Canadian_Shield,0.00053,0.00218,0.0143075,0.012575,9/1/2022,568,568.0217679,580.5402441,0.202151513,-0.001318816,0.011069291,1.186,1.218,0.144,0.47,0.48,0.06
53,Echo,Canadian_Shield,0.000915,0.003995,0.01681,0.0148025,9/1/2022,568,567.8302215,579.7928728,0.187855575,-0.00122473,0.013135831,1.408,1.462,0.237,0.45,0.47,0.08
54,Echo,Canadian_Shield,0.009715,0.00361,0.0160675,0.014005,9/1/2022,568,567.6681889,584.1176781,0.102524276,-0.000671689,0.012481142,1.437,1.402,0.732,0.40,0.39,0.21
55,Echo,Canadian_Shield,0.0099075,0.0036375,0.0153525,0.0130425,9/1/2022,567,567.1254678,584.1256357,0.095341324,-0.000624637,0.011818594,1.369,1.338,0.742,0.40,0.39,0.22
56,Bear_Head,Canadian_Shield,0.00156125,0.00499875,0.01087,0.00614,9/1/2022,554,553.6726308,571.6646508,0.142732068,-0.000927219,0.007764105,0.819,0.936,0.294,0.40,0.46,0.14
57,Bear_Head,Canadian_Shield,0.002785,0.00618125,0.0115575,0.00695125,9/1/2022,552,552.4900293,570.9283672,0.120242369,-0.000781015,0.008565503,0.904,1.022,0.408,0.39,0.44,0.17
58,Bear_Head,Canadian_Shield,0.00284,0.0051775,0.01054,0.00565875,9/1/2022,551,550.6045271,570.1323943,0.117811581,-0.000765109,0.007525945,0.801,0.911,0.373,0.38,0.44,0.18
59,Bear_Head,Canadian_Shield,0.00288125,0.00549375,0.0114475,0.00640125,9/1/2022,553,552.5049612,571.017533,0.121805007,-0.000791178,0.008209802,0.876,0.991,0.389,0.39,0.44,0.17
